"grid","avg_finish","avg_points","races"
1,5.6637323943662,8.60179577464785,1136
2,6.61155555555556,7.1299022222222,1125
3,7.50530973451327,5.79879646017696,1130
4,8.23144876325088,4.81007067137811,1132
5,9.13604240282685,3.81403710247347,1132
6,9.57422222222222,3.33422222222221,1125
7,10.0669603524229,2.52819383259913,1135
8,10.688219663419,2.01018600531444,1129
9,10.8038869257951,1.83259717314486,1132
10,11.712389380531,1.41592920353983,1130
11,12.0379858657244,1.24381625441696,1132
12,12.1029281277728,0.943212067435669,1127
13,12.7546666666667,0.709333333333328,1125
14,13.2714285714286,0.596428571428571,1120
15,13.5148247978437,0.518418688230006,1113
16,13.6581818181818,0.424545454545456,1100
17,14.2433425160698,0.322314049586775,1089
18,14.7933333333333,0.253333333333335,1050
19,14.8370514064016,0.25897187196896,1031
20,15.2082051282051,0.273846153846156,975
21,15.9440459110473,0.0946915351506463,697
22,15.780487804878,0.166158536585366,656
23,16.2472406181015,0.0838852097130243,453
24,16.7342657342657,0.148018648018648,429
25,16.2458471760797,0.0498338870431893,301
26,16.9314516129032,0.0806451612903227,248
27,19.6739130434783,0,46
28,19.4333333333333,0.138,30
29,21.24,0.08,25
30,22.7894736842105,0,19
31,19.0555555555556,0.166666666666667,18
32,16.5294117647059,0.411764705882353,17
33,19.4615384615385,0.230769230769231,13
34,22,0,1
